"DOMAIN","COMPANY_NAME","COMPANY_INDUSTRY","COMPANY_REVENUE","COMPANY_SIZE","JOURNEY_STAGE","FIRST_VISIT_DATE","TOTAL_VISITS","TOTAL_VISITORS","CONTACT_EMAIL_SHA256"
"stellar-solutions.com","Stellar Solutions","Financial Services","Micro ($0-$1MM)","Small (10-49)","Aware","2026-09-03",4,3,"42918762676cbf5518db898e754b9e230dd07a31e2977ede196a17195eb18b48"
"nexus-digital.com","Nexus Digital","Entertainment","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware","2026-07-28",3,1,""
"vertex-solutions.com","Vertex Solutions","Telecommunications","Micro ($0-$1MM)","Micro (1-9)","Aware","2026-08-23",13,5,""
"atlas-systems.com","Atlas Systems","Software / Information Technology","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-06-30",5,1,""
"green-cloud.com","Green Cloud","Telecommunications","Small ($1MM-$10MM)","Small (10-49)","Unaware","2026-05-28",4,1,""
"smart-labs.com","Smart Labs","Logistics and Supply Chain","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware","2026-08-06",5,1,"5ecddeeb7c6a7e59f2ae2bedbbe31c893587d7e5c2233be832f4b4ae05381102"
"apex-cloud.com","Apex Cloud","Management Consulting","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware","2026-08-06",1,1,""
"prime-labs.com","Prime Labs","Real Estate","Small ($1MM-$10MM)","Small (10-49)","Unaware","2026-05-10",2,1,"a395b68a36dee779f3217956f85f00251be55770d2ec8a2de4ecf5b26c03e3bf"
"nexus-io.com","Nexus Io","Telecommunications","Medium-Small ($10MM-$50MM)","Medium (200-499)","Aware","2026-07-08",10,5,""
"acme-data.com","Acme Data","Marketing and Advertising","Medium-Large ($50MM-$100MM)","Medium (200-499)","Aware","2026-04-05",14,5,""
"blue-inc.com","Blue Inc","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware","2026-06-27",5,1,""
"acme-solutions.com","Acme Solutions","Financial Services","Micro ($0-$1MM)","Small (10-49)","Aware","2026-03-30",14,5,""
"iron-digital.com","Iron Digital","Telecommunications","Micro ($0-$1MM)","Small (10-49)","Unaware","2026-08-29",4,1,""
"smart-io.com","Smart Io","Legal Services","Micro ($0-$1MM)","Small (10-49)","MQL","2026-07-31",183,24,""
"nexus-works.com","Nexus Works","Logistics and Supply Chain","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Engaged","2026-09-22",70,6,"02d8d65fb3d75a9e35e4061ec6d54a8b65f3224044a39c86309b32d799a0ddc6"
"stellar-solutions.com","Stellar Solutions","Financial Services","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Aware","2026-08-22",15,5,""
"stellar-corp.com","Stellar Corp","Retail","XXLarge ($1B+)","XXLarge (10,000+)","Aware","2026-06-16",22,5,""
"core-media.com","Core Media","Health, Wellness and Fitness","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Aware","2026-08-05",16,5,""
"green-hub.com","Green Hub","Telecommunications","Micro ($0-$1MM)","Small (10-49)","Aware","2026-09-01",22,5,""
"vertex-media.com","Vertex Media","Insurance","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-07-11",1,1,"fc5e3d9d82f9083f644f8eb556ff5af7131d00b72a8a840a9280a2292a40d330"
"atlas-inc.com","Atlas Inc","Entertainment","Medium-Small ($10MM-$50MM)","Medium (200-499)","MQL","2026-09-14",221,13,"482add7ce4bec94dfb604daa58aabe426d3e2299d31ccce27eb657d4610fa535"
"peak-corp.com","Peak Corp","Entertainment","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware","2026-05-30",8,6,""
"prime-inc.com","Prime Inc","Real Estate","Large ($100MM-$200MM)","Large (1,000-4,999)","Engaged","2026-04-29",75,9,"526e06fafc0a853976018a41ca504b3ea35b627199e9807a1f119ba95df12505"
"global-labs.com","Global Labs","Retail","Small ($1MM-$10MM)","Medium-Small (50-199)","Engaged","2026-05-10",99,11,"20810754e0fe8d5cf912bea74844a54b09548d6315e13a614089b4e51196e522"
"nexus-inc.com","Nexus Inc","Automotive","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware","2026-08-10",4,1,"6ce35f3082499cf6bbdfc3b24e8e0e0020083171e2b2bb3b9526b8e368f8fd61"
"blue-io.com","Blue Io","Software / Information Technology","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-04-30",3,1,""
"apex-digital.com","Apex Digital","Food & Beverages","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware","2026-05-26",3,1,"818e502ecc6a17b2531d8066cab7a8922723b97ed32b1d92a374c4f8f131af7b"
"apex-digital.com","Apex Digital","Marketing and Advertising","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware","2026-07-30",3,1,"d651fb151fc2219c619822a681bbab0880a3857eb97b2a3d51e54696bb8ec59e"
"core-tech.com","Core Tech","Marketing and Advertising","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Engaged","2026-09-17",80,9,"830e54d80f6faf7e8cd5005b04011c45fa762bf4a09513b562af372ca662c9e3"
"smart-cloud.com","Smart Cloud","Software / Information Technology","Medium-Large ($50MM-$100MM)","Medium (200-499)","Aware","2026-06-07",11,6,""
"cyber-cloud.com","Cyber Cloud","Software / Information Technology","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware","2026-08-18",15,6,""
"stellar-systems.com","Stellar Systems","Software / Information Technology","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Aware","2026-05-25",7,5,""
"cyber-data.com","Cyber Data","Manufacturing","XXLarge ($1B+)","XXLarge (10,000+)","Engaged","2026-09-01",85,15,""
"core-inc.com","Core Inc","Education Management","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware","2026-04-03",5,1,"9dc110d67f0574d1ca3fe41cd5842a29dd921a02b74a8927da8081cae567b55f"
"green-digital.com","Green Digital","Real Estate","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware","2026-07-29",5,1,""
"clear-tech.com","Clear Tech","Financial Services","Small ($1MM-$10MM)","Medium-Small (50-199)","Opportunity","2026-04-22",134,20,"105644106a9ea23459daa63eb194cd28e6a6fb2a38a22193d169d86136e417bc"
"stellar-solutions.com","Stellar Solutions","Food & Beverages","Medium-Large ($50MM-$100MM)","Medium (200-499)","Aware","2026-06-02",15,5,""
"core-solutions.com","Core Solutions","Software / Information Technology","Small ($1MM-$10MM)","Small (10-49)","Unaware","2026-03-31",2,1,""
"apex-media.com","Apex Media","Software / Information Technology","XLarge ($200MM-$1B)","Large (1,000-4,999)","Aware","2026-08-20",3,5,""
"acme-io.com","Acme Io","Marketing and Advertising","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware","2026-09-15",1,1,""
"apex-systems.com","Apex Systems","Software / Information Technology","Small ($1MM-$10MM)","Small (10-49)","Aware","2026-08-03",17,3,"7899ad28336e2aceae5673f4bc465bc0824366354a6c053ebad7175363aae064"
"smart-digital.com","Smart Digital","Health, Wellness and Fitness","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware","2026-06-14",17,2,"fab7f5f712a08b196b3adcfa234a064440e5d2c4a554d5c39adf03bd60d3cf0b"
"blue-works.com","Blue Works","Software / Information Technology","Small ($1MM-$10MM)","Small (10-49)","Unaware","2026-09-22",3,1,""
"global-hub.com","Global Hub","Consumer Goods","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Opportunity","2026-04-06",245,14,"550cc0f744037ffa0011a6385c4c4b8f974f61a88aded5a686d8124891169ad8"
"apex-inc.com","Apex Inc","E-Learning","Micro ($0-$1MM)","Small (10-49)","MQL","2026-08-23",189,6,"b19ba1f3b7b818c0e97a63e4fcb11e0407427386b91653a34ca8ee744fed2e30"
"clear-labs.com","Clear Labs","Retail","XXLarge ($1B+)","XXLarge (10,000+)","Engaged","2026-08-18",68,13,""
"iron-inc.com","Iron Inc","Retail","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware","2026-04-23",5,1,"1ec2bed8edf5eae7fe3f0c4cb80bdf88bd72ae669c1bbcb0526c483957ba74e7"
"nova-inc.com","Nova Inc","Automotive","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware","2026-07-12",13,5,""
"green-group.com","Green Group","Marketing and Advertising","Micro ($0-$1MM)","Small (10-49)","Aware","2026-08-18",11,4,""
"nexus-io.com","Nexus Io","Marketing and Advertising","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware","2026-07-17",1,1,"29f8519a7bfee707e3ba477e3e148aba0e4b17d87e75a77145cbd03bf7ee8c1e"
"cyber-data.com","Cyber Data","Management Consulting","Large ($100MM-$200MM)","Medium-Large (500-999)","Unaware","2026-05-30",4,1,"30c4467dd2c9307dc910c4eea3dbfeb23b61879f252493398fb9e271a6562de0"
"iron-group.com","Iron Group","Marketing and Advertising","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware","2026-07-12",2,1,""
"smart-works.com","Smart Works","Construction","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Engaged","2026-04-14",17,12,"741569461743eedc3127b2ee3db3cb7772f6dec2cb54e88dce45cca4264d3343"
"global-io.com","Global Io","Marketing and Advertising","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware","2026-05-12",5,1,""
"global-tech.com","Global Tech","Software / Information Technology","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware","2026-08-18",11,6,""
"peak-corp.com","Peak Corp","Software / Information Technology","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware","2026-05-01",3,1,"8758b0587d615a8f9f40bf8d23ed6e26666181ca7ff8de126beef7958933855c"
"cyber-labs.com","Cyber Labs","Education Management","Micro ($0-$1MM)","Micro (1-9)","Aware","2026-08-02",20,2,"4b82c8bffe5d154cf33e9108397890fd7a4fa14102b8fd4ef3a33a05236dba53"
"atlas-hub.com","Atlas Hub","Education Management","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-09-08",2,1,"95b09bf33ea5854704774cbf1e082ee4e76a2b26461ed757f603623c9e837153"
"green-digital.com","Green Digital","Legal Services","Small ($1MM-$10MM)","Small (10-49)","MQL","2026-04-17",201,19,"3e90720f42790e2c45bbecc442c7c34affe0f7c2b410b9df3af849cb7197a570"
"rapid-cloud.com","Rapid Cloud","Construction","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware","2026-07-05",3,1,""
"rapid-io.com","Rapid Io","Marketing and Advertising","Small ($1MM-$10MM)","Small (10-49)","Engaged","2026-09-17",49,10,"7103602fdee468afc90f7798772f673ca8ca665ce00d0f41ee98a3eb34250217"
"core-digital.com","Core Digital","Consumer Goods","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware","2026-05-07",2,1,"f8287b22b6d3e6e4e26b13b5eb20a85e09941691913fd6a2188b563fea42448d"
"stellar-corp.com","Stellar Corp","Retail","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware","2026-09-23",4,1,""
"swift-corp.com","Swift Corp","Real Estate","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-04-25",4,1,""
"clear-solutions.com","Clear Solutions","Food & Beverages","Large ($100MM-$200MM)","Large (1,000-4,999)","MQL","2026-04-18",166,22,""
"acme-solutions.com","Acme Solutions","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium (200-499)","Opportunity","2026-08-13",182,32,"215c5f2d3e4674481657bd56fe82bfaf1ae5f59275b5ffc4ceae97afff3163f1"
"acme-systems.com","Acme Systems","Retail","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-04-21",3,1,"61e0018cd872f0e074fd1531651d705a7567bd33f7fb6e0325f6a77b73105538"
"green-media.com","Green Media","Financial Services","Small ($1MM-$10MM)","Small (10-49)","Unaware","2026-08-27",4,1,""
"green-net.com","Green Net","Marketing and Advertising","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-08-15",2,1,""
"stellar-tech.com","Stellar Tech","Automotive","XLarge ($200MM-$1B)","Large (1,000-4,999)","Unaware","2026-09-22",4,1,"93c21acabf40367c9b3c907655e3f1e0d2308286d893ca95d527c449e61d17be"
"smart-data.com","Smart Data","Software / Information Technology","Large ($100MM-$200MM)","Large (1,000-4,999)","MQL","2026-05-08",152,27,""
"atlas-tech.com","Atlas Tech","Retail","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","MQL","2026-04-17",162,18,"b290e374bc5a0ebd486a42ef8d9062be5ecd39595af24d5158c44bc2cf2c81ef"
"rapid-inc.com","Rapid Inc","Entertainment","Medium-Large ($50MM-$100MM)","Medium (200-499)","Aware","2026-03-31",12,2,"b8bd047195263e974c73b0c0f53a727f1a9f064119b323e7b5952fbf12600358"
"apex-net.com","Apex Net","Consumer Goods","Medium-Small ($10MM-$50MM)","Medium (200-499)","Aware","2026-05-13",20,3,"bb6dfca72dbb398a3a21592735b66ab17f670f6ac2bc216a4ac807dc85f1658b"
"bright-works.com","Bright Works","Software / Information Technology","Small ($1MM-$10MM)","Small (10-49)","Unaware","2026-08-13",3,1,""
"core-systems.com","Core Systems","Automotive","XXLarge ($1B+)","XXLarge (10,000+)","Unaware","2026-05-17",5,1,"36db3e582b36fac09dd2a2afd840a529855844157038eb4a651d85dec607d302"
"cyber-works.com","Cyber Works","Legal Services","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware","2026-05-07",1,1,"94f4dd1d329d82fdbe0ad9290929363827b64ca80fa53fe84975a7b570239d4a"
"nexus-corp.com","Nexus Corp","Construction","Micro ($0-$1MM)","Micro (1-9)","Aware","2026-04-24",3,4,"6ff20989c80648c225239645de8c543c46c5c29e806863b480adf873fa7dfc80"
"peak-solutions.com","Peak Solutions","Financial Services","Large ($100MM-$200MM)","Medium-Large (500-999)","Engaged","2026-04-11",98,18,""
"stellar-corp.com","Stellar Corp","Software / Information Technology","Micro ($0-$1MM)","Small (10-49)","Unaware","2026-04-26",1,1,""
"stellar-corp.com","Stellar Corp","Health, Wellness and Fitness","Large ($100MM-$200MM)","Medium-Large (500-999)","Unaware","2026-07-19",1,1,""
"apex-cloud.com","Apex Cloud","Legal Services","Micro ($0-$1MM)","Small (10-49)","Aware","2026-06-28",3,5,""
"acme-media.com","Acme Media","Software / Information Technology","Micro ($0-$1MM)","Small (10-49)","Unaware","2026-06-09",3,1,""
"rapid-labs.com","Rapid Labs","Automotive","Micro ($0-$1MM)","Micro (1-9)","Aware","2026-09-14",17,4,""
"rapid-solutions.com","Rapid Solutions","Retail","XXLarge ($1B+)","XXLarge (10,000+)","Unaware","2026-05-14",1,1,""
"green-group.com","Green Group","Food & Beverages","Small ($1MM-$10MM)","Small (10-49)","MQL","2026-07-02",164,16,"3c913db76db04f7ad2c3814a02c42e2909ba54dc6a11e70bf76193861efeaafa"
"bright-hub.com","Bright Hub","Software / Information Technology","Small ($1MM-$10MM)","Small (10-49)","Engaged","2026-09-11",14,11,"3fcc562d59534deb94ce6aee8ead18a952c8ee3f416438b0eeabaf0451ddd6a3"
"apex-tech.com","Apex Tech","Legal Services","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware","2026-06-28",19,4,""
"bright-media.com","Bright Media","E-Learning","Large ($100MM-$200MM)","Medium-Large (500-999)","Unaware","2026-07-19",2,1,""
"nova-hub.com","Nova Hub","Manufacturing","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware","2026-05-15",21,2,"04b6df0e035a9d01b5de7cdf17b4a08939fd7d2b6d036c9409cdbae62703555d"
"core-corp.com","Core Corp","Software / Information Technology","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-04-01",5,1,""
"peak-hub.com","Peak Hub","Consumer Goods","Small ($1MM-$10MM)","Small (10-49)","Aware","2026-07-07",8,3,"e0e52924ccaa2d9a25a4fbcc2202eedaff2033b4336a48c2c0ca12497db2e76e"
"clear-labs.com","Clear Labs","Financial Services","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware","2026-07-27",3,1,""
"swift-inc.com","Swift Inc","Education Management","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware","2026-07-03",2,1,""
"apex-data.com","Apex Data","Legal Services","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-06-03",3,1,""
"apex-net.com","Apex Net","Hospital & Health Care","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware","2026-03-29",19,3,"93e439e6ad71d7c98eb08e3fa9df5bd2336d6093b00d544f7e46e84317ce90dd"
"nexus-io.com","Nexus Io","Marketing and Advertising","Small ($1MM-$10MM)","Small (10-49)","Unaware","2026-04-26",4,1,""
"nova-solutions.com","Nova Solutions","Marketing and Advertising","Micro ($0-$1MM)","Micro (1-9)","Aware","2026-09-22",6,2,"1d0be009fc870e6dbfb707746d280a4362a5b016860823f92aa98e57f0e8b288"
"apex-net.com","Apex Net","Legal Services","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Aware","2026-05-20",7,1,"e9f1185f37ace410256f336b14ae976b541b394d59c99834052f3671b11d61c6"
"nexus-inc.com","Nexus Inc","Manufacturing","Small ($1MM-$10MM)","Small (10-49)","Unaware","2026-04-01",5,1,"bb7dec9360e5044b685bc8fcc47cf391a92e27e85e74ee92034b527eee2fa6e8"
"swift-works.com","Swift Works","Telecommunications","Small ($1MM-$10MM)","Small (10-49)","Engaged","2026-07-11",65,17,""
"nexus-io.com","Nexus Io","Food & Beverages","Micro ($0-$1MM)","Micro (1-9)","Opportunity","2026-08-12",330,31,"945f1b522e520774dd399b249707149179723d388c05334d60474ac370918d08"
"global-solutions.com","Global Solutions","Marketing and Advertising","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware","2026-08-08",3,1,"4284aa1010190b8f1c59199997129c86df9bf6d58e214349cdec7afaa469a4eb"
"blue-digital.com","Blue Digital","Software / Information Technology","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware","2026-08-14",4,1,"fcbc431a584db814c19b9e44922ec405ad29bb865f115736db5465b7373bf86e"
"swift-systems.com","Swift Systems","Marketing and Advertising","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-09-08",2,1,""
"bright-digital.com","Bright Digital","Retail","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","MQL","2026-04-25",160,22,""
"green-net.com","Green Net","Software / Information Technology","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Unaware","2026-05-24",1,1,""
"rapid-cloud.com","Rapid Cloud","Retail","Micro ($0-$1MM)","Micro (1-9)","Aware","2026-08-07",21,1,"cc81c2142fbc98c8c21a1dcf9e9934934e00f77c7621f41a4e799dc262e678ff"
"iron-systems.com","Iron Systems","Hospital & Health Care","Medium-Small ($10MM-$50MM)","Medium (200-499)","Opportunity","2026-04-12",233,16,"fa3b1af0edc45cd0410d561f976fc64bc10da05e753a172f26255e303530cfb2"
"cyber-solutions.com","Cyber Solutions","Retail","Small ($1MM-$10MM)","Small (10-49)","Opportunity","2026-06-16",205,40,""
"global-systems.com","Global Systems","Retail","Micro ($0-$1MM)","Small (10-49)","MQL","2026-07-28",182,10,"33dec225cbd8615acde8340a2f8461cb279f8ceda73f235c6bf16ddf492183a9"
"green-group.com","Green Group","Logistics and Supply Chain","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware","2026-04-24",20,2,"0734bddc75725f6e2369a3a5a1515172d20c9f0d97202c4ac9b5ebff9aea1831"
"atlas-hub.com","Atlas Hub","Real Estate","XLarge ($200MM-$1B)","Large (1,000-4,999)","Aware","2026-06-11",10,4,"cfdc5ed8c25959e3cf325942ae8d877204eff21bc5ff58439cb324e199369d31"
"green-cloud.com","Green Cloud","Entertainment","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware","2026-07-09",15,3,"df3a505396971ed4f86a9d656f4e813eb0109b05b49e710497debdc7ea4b55cb"
"bright-digital.com","Bright Digital","Food & Beverages","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-08-13",4,1,"2e9bf108ae45bf0bdb39145ac328eef892fa6fd8bbcf48371bf4285b16867aa4"
"atlas-systems.com","Atlas Systems","Marketing and Advertising","XLarge ($200MM-$1B)","Large (1,000-4,999)","MQL","2026-07-31",223,27,""
"peak-systems.com","Peak Systems","Health, Wellness and Fitness","Micro ($0-$1MM)","Small (10-49)","Unaware","2026-05-24",5,1,"1fabc74ed380f5d43e8a3b9f2df7fb3fd533cb8add0721093fe4f9e1a516053d"
"peak-labs.com","Peak Labs","Retail","Small ($1MM-$10MM)","Small (10-49)","Aware","2026-08-22",7,5,""
"bright-data.com","Bright Data","Health, Wellness and Fitness","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware","2026-06-29",4,1,"ccdc06c6f772ab7bc7316bdad09f113dafc53368446bf3b9d32c6b39f4562e13"
"global-systems.com","Global Systems","Retail","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-08-02",4,1,"a8e78d6edd60d47f85dbdaa767d8c2265963ff403b54fac71a830c12a2261efc"
"prime-inc.com","Prime Inc","Automotive","Small ($1MM-$10MM)","Small (10-49)","Aware","2026-07-22",8,4,"f9bc9d2c3e9e362c3442d69ae5734c1cc0347d5bf3b118b70026c266e000fd56"
"rapid-tech.com","Rapid Tech","Entertainment","Medium-Large ($50MM-$100MM)","Medium (200-499)","Aware","2026-07-06",20,6,""
"global-tech.com","Global Tech","Consumer Goods","Micro ($0-$1MM)","Micro (1-9)","Engaged","2026-09-06",72,12,""
"green-systems.com","Green Systems","Software / Information Technology","Micro ($0-$1MM)","Micro (1-9)","Aware","2026-05-04",16,6,""
"iron-data.com","Iron Data","Legal Services","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-04-28",1,1,"40bd1d06b7f402e93c4a5316c355735f0d900e44b9fe24fc02aabf6f9ffdec73"
"apex-digital.com","Apex Digital","Manufacturing","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware","2026-07-31",3,1,"43396f9f51f1dbca607dc4eb91d4bfc5e533b3233788efbb84387e8aafe10683"
"green-systems.com","Green Systems","Food & Beverages","Micro ($0-$1MM)","Small (10-49)","MQL","2026-09-20",65,10,"ffd4d5dcc2964d56d4fcdb32ccb9a074ffbf3bb5aaa9fc474be81a9ded4aae5e"
"blue-tech.com","Blue Tech","Entertainment","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware","2026-04-02",5,3,"95a2f164fa207ace739160d47528f5af4bb139675ac76e28c45682cd0e8b7a62"
"acme-group.com","Acme Group","Logistics and Supply Chain","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware","2026-06-23",3,1,""
"stellar-labs.com","Stellar Labs","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware","2026-07-22",5,1,"cc697eaed207da304eecec187ff3e189f86f68b1ebf0256d78d9b2502abedeb5"
"acme-works.com","Acme Works","Legal Services","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Engaged","2026-08-25",25,16,""
"acme-works.com","Acme Works","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Aware","2026-06-01",19,5,""
"cyber-solutions.com","Cyber Solutions","Insurance","Micro ($0-$1MM)","Micro (1-9)","MQL","2026-07-16",192,30,""
"smart-systems.com","Smart Systems","Software / Information Technology","Micro ($0-$1MM)","Micro (1-9)","Aware","2026-09-05",13,5,""
"acme-works.com","Acme Works","Health, Wellness and Fitness","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-07-25",2,1,""
"apex-tech.com","Apex Tech","Management Consulting","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware","2026-04-29",18,4,""
"prime-io.com","Prime Io","Automotive","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware","2026-09-20",4,1,"880d99fec899ae038b3a83dc07786d070cc05977384b47f9fd606447b334d4da"
"clear-corp.com","Clear Corp","Legal Services","Large ($100MM-$200MM)","Medium-Large (500-999)","Unaware","2026-04-05",2,1,""
"blue-corp.com","Blue Corp","Health, Wellness and Fitness","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware","2026-09-12",2,1,"c3b76c0caeef9119dcddab03c1db18ce50db357b5622c89f8e1a36b54fe0d68a"
"swift-net.com","Swift Net","Marketing and Advertising","Large ($100MM-$200MM)","Large (1,000-4,999)","MQL","2026-09-03",175,25,""
"prime-solutions.com","Prime Solutions","Marketing and Advertising","Small ($1MM-$10MM)","Medium-Small (50-199)","Engaged","2026-04-14",69,13,""
"blue-net.com","Blue Net","Marketing and Advertising","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware","2026-08-10",2,1,"7c71064cc15b00b7034b32e1ac5cc07eded8fa9eb2a8d29504349d0c5bdf6a86"
"cyber-solutions.com","Cyber Solutions","Consumer Goods","Micro ($0-$1MM)","Small (10-49)","Unaware","2026-09-14",3,1,"3c3faf0874b3498321f20c18a289932b15452a12a4956c0add8f147cbd45adf3"
"prime-systems.com","Prime Systems","Entertainment","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Engaged","2026-07-30",82,8,"f1de9174bff42cd8b6cf138ffe554c662ad7fcaca59758eed1ac0c104d1add73"
"nexus-tech.com","Nexus Tech","Marketing and Advertising","Small ($1MM-$10MM)","Medium-Small (50-199)","Engaged","2026-09-09",70,9,"039088bf02969a68aa49491cadb5204f90470e5584135ae79eeb83abe33340fe"
"acme-digital.com","Acme Digital","Marketing and Advertising","Micro ($0-$1MM)","Small (10-49)","Unaware","2026-07-11",1,1,""
"prime-corp.com","Prime Corp","Logistics and Supply Chain","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Aware","2026-08-28",13,5,""
"atlas-labs.com","Atlas Labs","Retail","Large ($100MM-$200MM)","Medium-Large (500-999)","Opportunity","2026-08-14",267,39,""
"rapid-works.com","Rapid Works","Entertainment","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware","2026-09-16",3,1,""
"peak-io.com","Peak Io","Software / Information Technology","Medium-Large ($50MM-$100MM)","Medium (200-499)","MQL","2026-09-08",163,7,"223c74c80efb6d9f40295b276524cbd274db5033d396de2b5153b62e4cbdd481"
"nova-group.com","Nova Group","Entertainment","XLarge ($200MM-$1B)","Large (1,000-4,999)","Aware","2026-07-23",22,2,"4f01c10e12a39095feb251029bb3bb2f845fd82343ac98e6d6b4984e9b5ab51f"
"nova-cloud.com","Nova Cloud","Entertainment","Small ($1MM-$10MM)","Small (10-49)","Aware","2026-07-19",9,5,""
"global-inc.com","Global Inc","Financial Services","Micro ($0-$1MM)","Small (10-49)","Opportunity","2026-04-03",107,46,""
"smart-group.com","Smart Group","Management Consulting","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware","2026-08-15",3,1,"65423fdaafe59f44f9f5b8ff4bbeb27e8bc4ec1274fef5f3af5684049c36a113"
"green-group.com","Green Group","Real Estate","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware","2026-09-05",3,1,"5344f810274bc5daa12e2c3efebef412b0133c436f3c5ecbed39cbc1f1720805"
"stellar-inc.com","Stellar Inc","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware","2026-04-21",1,1,"6ddd60671c6714d4a8a8081c49f89d7bd5a474b323183ab54ab4d10d8dc03182"
"prime-data.com","Prime Data","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware","2026-05-28",5,1,"5e5977a3299a30c83d18a89027cbb685fa8dd0c2d5181cbadfed776738de3879"
"stellar-hub.com","Stellar Hub","Retail","Micro ($0-$1MM)","Micro (1-9)","Opportunity","2026-07-27",74,48,""
"nova-cloud.com","Nova Cloud","Retail","Micro ($0-$1MM)","Micro (1-9)","Engaged","2026-06-06",27,7,"083e9bd86dc7fe2b75e6455a7f3fc1c986a524e2a9eae01287940f0dcd16a1df"
